investor_name,investor_market,investor_country_code,raised_amount_usd
Silas Capital,Venture Capital,USA,9250000.0
Silicon Straits,Product Design,SGP,560000.0
Simon Property Group,Real Estate,USA,2500000.0
SixThirty - FinTech Accelerator,Startups,USA,400000.0
Skolkovo Foundation,None,RUS,3745000.0
Slingshot Accelerator,Startups,AUS,264223.0
Smartlogic Semaphore,Software,GBR,1000000.0
Snapdeal,E-Commerce,IND,20000.0
Socialatom Ventures,Finance,USA,187500.0
SoftBank,Media,JPN,75000000.0
Softline Venture Partners,E-Commerce,RUS,3024250.0
Sourcefire,Information Technology,USA,19000000.0
South Ventures,Venture Capital,USA,5001600.0
Spark Capital,Finance,USA,469950000.0
SparkLabs Accelerator,Startups,KOR,500000.0
SparkLabs Global Ventures,Finance,USA,1450000.0
Spintop Ventures,Entrepreneur,SWE,20000000.0
Spring Singapore,Entertainment,ESP,4000000.0
Sprint Nextel,Mobile,USA,80540000.0
Square 1 Bank,Finance,USA,200750000.0
Square Peg Capital,Venture Capital,AUS,46163785.0
St. Jude Medical,Medical Devices,USA,45000000.0
St. Louis Arch Angels,Non Profit,USA,10750000.0
Starbucks,Hospitality,USA,1700000.0
Start Engine,Technology,USA,60000.0
StartEngine,Startups,USA,40000.0
StartFast Venture Accelerator,Software,USA,18000.0
StartX,E-Commerce,USA,5000000.0
Startup Monthly,Health and Wellness,USA,300000.0
Startup Sauna,Startups,FIN,13000.0
Startup Wise Guys,Startups,EST,80385.0
StartupYard,Automotive,CZE,40000.0
Startupbootcamp,Investment Management,GBR,2427651.0
Steelcase,Manufacturing,USA,1300000.0
Strike4,Early-Stage Technology,BEL,2600000.0
Stripes Group,Internet,USA,46740000.0
Student Upstarts,Finance,GBR,23428.0
Suanfarma Biotech,Product Development Services,ESP,2050880.0
Sumitomo Corporation,None,JPN,1000000.0
"SunPower, Inc.",Clean Technology,USA,54660614.0
Suning,None,CHN,420000000.0
Synclogue,Software,JPN,46263.0
T-Venture,Venture Capital,DEU,227750000.0
T. Rowe Price,Investment Management,USA,657000000.0
TE Connectivity,Electrical Distribution,USA,5000000.0
TIBCO Software,Enterprise Software,USA,1000000.0
Take-Two Interactive Software,Video Games,USA,20000000.0
Tamra-Tacoma Capital Partners,Solar,USA,30000000.0
Tandem,Finance,USA,2225000.0
Tandem Capital,Mobile,USA,5453000.0
Tank Stream Ventures,Early-Stage Technology,AUS,6750000.0
Tech Wildcatters,Startups,USA,25000.0
TechLaunch,Finance,USA,300000.0
Techpeaks,Finance,ITA,77744.0
Techstars,Venture Capital,USA,31759800.0
Telecom Italia,Web Hosting,ITA,65228.0
Telefonica,Public Relations,ESP,51220.0
Telefí_nica Digital,Public Relations,GBR,100000000.0
Telstra,Telecommunications,AUS,110400000.0
Tencent,Internet Marketing,CHN,731600000.0
Terra Venture Partners,Incubators,ISR,3650000.0
Tesco,Enterprise Software,GBR,350000000.0
Tethys BioScience,Biotechnology,USA,18913020.0
Texas Atlantic Capital,Finance,DEU,20400000.0
The Ark Challenge,Startups,USA,190000.0
The Brandery,Startups,USA,25375000.0
The Children's Hospital of Philadelphia,Nonprofits,USA,50000000.0
The Coca-Cola Company,Hospitality,USA,3350000.0
The Hillman Companies,None,USA,45000000.0
The Impact Engine,Enterprises,USA,1000000.0
The Iron Yard,Health and Wellness,USA,270000.0
The Next 36,Finance,CAN,157398.0
The Online Circle Pty Ltd,Consulting,AUS,250000.0
The Startup Factory,Startups,USA,1350000.0
The Washington Post Company,Media,USA,11250000.0
The9,Business Services,CHN,12000000.0
Think Big Partners,Startups,USA,2900000.0
Thinktiv,Business Development,USA,3600000.0
TiE Angels,Finance,USA,14600000.0
Tiger Global Management,Investment Management,USA,1427100000.0
Torrenegra Labs,Hotels,COL,47500.0
Toshiba America Electronic Components,Semiconductors,USA,15000000.0
Transgene,Biotechnology,FRA,2702490.0
Translated,Natural Language Processing,ITA,275000.0
TriZetto,Software,USA,18700000.0
Triangle Capital Corporation,Financial Services,USA,13633363.0
Trinity Ventures,Finance,USA,304695000.0
Trovit,Search,ESP,771960.0
True Global Ventures (TGV),Venture Capital,USA,1100000.0
Tumml,Startups,USA,60000.0
U.S. Department of Defense,Governments,USA,9450000.0
U.S. Department of Labor,Politics,USA,2750000.0
U.S. Department of Transportation,None,USA,1400000.0
UDD Ventures,Finance,CHL,200000.0
USAID,Politics,USA,1100000.0
Umoe,Finance,NOR,9400000.0
Undercurrent,Career Planning,USA,6262500.0
Union Square Ventures,Venture Capital,USA,361409590.0
Uniseed Ventures,Investment Management,AUS,12330691.0
United Internet,Web Hosting,DEU,39500000.0
United Parcel Service,Messaging,USA,20700000.0
Unity Trust Bank,Finance,GBR,6515581.0
University Of Oxford,None,GBR,12122011.0
University Of Pennsylvania,Education,USA,50000.0
University of Maryland,Education,USA,6500.0
University of Toronto,Education,CAN,584287.0
UpWest Labs,Finance,USA,2510000.0
Upfront Ventures,Finance,USA,86682401.0
Upstart Labs,Venture Capital,USA,600000.0
VA Angels,Angels,CAN,9506945.0
VCDE Venture Partners,Venture Capital,DEU,1644080.0
VMware,Software,USA,114500000.0
Valensas,Mobile,TUR,350000.0
Vayner/RSE,Venture Capital,USA,4800000.0
VegasTechFund,Startups,USA,48615000.0
Velos Partners,Retail Technology,USA,15000000.0
Venista Ventures,Mobile,DEU,115000.0
VenturEast,Finance,IND,22000000.0
Venture Hive,Finance,USA,25000.0
VentureSpur,Finance,USA,840000.0
Verizon Communications,Mobile,USA,25000000.0
Village Capital,Startups,USA,50000.0
Viola Partners,Venture Capital,ISR,51300000.0
Violin Memory,Technology,USA,12000000.0
Visa,Business Services,USA,12000000.0
VivaKi,Advertising,USA,9000000.0
Voyager Capital,Advertising,USA,27499999.0
Vuzum,E-Commerce,ROM,70000.0
WME,Entertainment,USA,18700000.0
WPP,Public Relations,GBR,10000000.0
WPP Digital,None,GBR,30000000.0
WRF Capital,Mobile,USA,3800000.0
Waddell & Reed,Finance,USA,42400000.0
WannaBiz,E-Commerce,UKR,300000.0
Wasabi Ventures,Finance,USA,4813124.0
Waste Management,Environmental Innovation,USA,48690584.0
WaveMaker Labs,None,SGP,1109000.0
Wavemaker Partners,Startups,USA,45630000.0
Wayra,ICT,ESP,15854367.0
Wearable World Inc.,News,USA,750000.0
Wekix VC,Finance,ISR,600000.0
WellPoint,Insurance,USA,1900000.0
Wellington Partners,Finance,DEU,114728163.0
West,Hardware + Software,USA,120600000.0
White Oak Advisory,Finance,GBR,8000000.0
White Star Capital,Technology,GBR,5250000.0
Whittier Trust,Finance,USA,600000.0
Wilmaa,Games,CHE,2200000.0
Wilson Sonsini Goodrich & Rosati,Business Services,USA,48275000.0
Wipro Technologies,Cloud Data Services,IND,30000000.0
Women's Venture Capital Fund,Entrepreneur,USA,4000000.0
Work-Bench,Enterprise Software,USA,3000000.0
Workday,Technology,USA,19000000.0
World Bank,Legal,USA,43000000.0
World Wide Web Hosting,Networking,USA,600000.0
XO Group,Media,USA,1000000.0
Xiaomi,Mobile,CHN,11000000.0
Xilinx,Semiconductors,USA,4902818.0
Y Combinator,Consulting,USA,42546000.0
YL Ventures,Venture Capital,CYM,3000000.0
YUL Ventures,Technology,CAN,1451612.0
Yahoo!,Photography,USA,50000000.0
Yahoo! Japan,E-Commerce,JPN,27000000.0
Yale School of Management,Education,USA,4000000.0
Yandex,Big Data Analytics,RUS,200000.0
Yeapoo,Enterprises,CHN,163755.0
Young & Associates,Sales and Marketing,USA,10000000.0
Z80 Labs Technology Incubator,Mobile,USA,1000000.0
Zebra Technologies,Enterprise Software,USA,19000000.0
ZetrOZ,Biotechnology,USA,2000000.0
ZhenFund,Finance,CHN,12804368.0
[212]Media,Games,USA,6200000.0
betaworks,Coworking,USA,33540000.0
dpixel,Finance,ITA,1929900.0
eBay,Business Services,USA,90600000.0
eBay Enterprise,Enterprise Software,USA,9500000.0
eCoast,B2B,USA,500000.0
ePlanet Capital,Investment Management,USA,20000000.0
gener8tor,Finance,USA,2900000.0
hatchbrands,None,CAN,10000.0
hub:raum,Finance,DEU,1051202.0
i/o Ventures,Startups,USA,2000000.0
iBuy,E-Commerce,NOR,800000.0
iNovia Capital,Technology,CAN,116619058.0
iVentures Asia Ltd,Finance,HKG,1000000.0
ilab,Startups,AUS,102117.0
mParticle,Software,USA,3000000.0
midVentures,Curated Web,USA,151525.0
mktg,Advertising,USA,1700000.0
netprice.com,E-Commerce,JPN,8421240.0
